artist,song,date_certified,label,award
EMINEM,8 MILE,"February 28, 2018",SHADY / AFTERMATH / INTERSCOPE,0
PITBULL,"GIVE ME EVERYTHING (FEAT. NE-YO, AFROJACK, & NAYER)","February 28, 2018",RCA,6
EMINEM,'TILL I COLLAPSE,"February 28, 2018",SHADY / AFTERMATH / INTERSCOPE,5
EMINEM,RAP GOD,"February 28, 2018",SHADY / AFTERMATH / INTERSCOPE,4
EMINEM,SUPERMAN,"February 28, 2018",SHADY / AFTERMATH / INTERSCOPE,1
ARIANA GRANDE,EVERYDAY,"February 26, 2018",REPUBLIC RECORDS,1
SKILLET,REBIRTHING,"February 26, 2018",ATLANTIC RECORDS,0
THE WEEKND,I FEEL IT COMING,"February 26, 2018",REPUBLIC RECORDS / XO RECORDS,3
JASON DERULO,SWALLA,"February 26, 2018",WARNER BROS RECORDS,2
FAMOUS DEX,PICK IT UP,"February 26, 2018",300 ENTERTAINMENT / RICH FOREVER MUSIC,0
CHRIS TOMLIN,WHOM SHALL I FEAR (GOD OF ANGEL ARMIES),"February 26, 2018",SIXSTEPRECORDS / CAPITOL CMG LABEL GROUP / SPARROW RECORDS,0
WALE,MY P.Y.T.,"February 26, 2018",ATLANTIC RECORDS,1
JESS GLYNNE,HOLD MY HAND,"February 26, 2018",ATLANTIC RECORDS,1
THE WEEKND,DIE FOR YOU,"February 26, 2018",REPUBLIC RECORDS / XO RECORDS,1
ORIGINAL BROADWAY CAST OF HAMILTON,MY SHOT,"February 26, 2018",ATLANTIC RECORDS,0
UNCLE KRACKER,SMILE,"February 26, 2018",ATLANTIC RECORDS,3
PANIC! AT THE DISCO,NINE IN THE AFTERNOON,"February 26, 2018",FUELED BY RAMEN,2
JACQUEES,B.E.D.,"February 26, 2018",CASH MONEY / REPUBLIC RECORDS,1
LIL UZI VERT,YOU WAS RIGHT,"February 26, 2018",ATLANTIC RECORDS,2
DRAKE,FREE SMOKE,"February 26, 2018",YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS,1
PANIC! AT THE DISCO,"BUILD GOD, THEN WE'LL TALK","February 26, 2018",FUELED BY RAMEN,0
THE WEEKND,STARBOY,"February 26, 2018",REPUBLIC RECORDS / XO RECORDS,6
CHRISTINA PERRI,JAR OF HEARTS,"February 26, 2018",ATLANTIC RECORDS,5
HAILEE STEINFELD,STARVING,"February 26, 2018",REPUBLIC RECORDS,3
DRAKE,PORTLAND,"February 26, 2018",YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS,2
HAILEE STEINFELD & ALESSO,LET ME GO (FEAT. FLORIDA GEORGIA LINE & WATT),"February 26, 2018",REPUBLIC RECORDS,1
JASON MRAZ,I'M YOURS,"February 26, 2018",ATLANTIC,9
KELSEA BALLERINI,LEGENDS,"February 26, 2018",BLACK RIVER ENTERTAINMENT,0
VICTOR MANUELLE,MALA Y PELIGROSA (FEAT. BAD BUNNY),"February 23, 2018",SONY LATIN,0
MARTIN GARRIX & DUA LIPA,SCARED TO BE LONELY,"February 22, 2018",RCA RECORDS,1
"J BALVIN, JEON, ANITTA",MACHIKA,"February 22, 2018",UNIVERSAL MUSIC LATINO,1
MARTIN GARRIX & TROYE SIVAN,THERE FOR YOU,"February 22, 2018",RCA RECORDS,0
CNCO,MAMITA,"February 22, 2018",SONY LATIN,0
SHWAYZE,BUZZIN',"February 21, 2018",SURETONE/GEFFEN,0
MARSHMELLO,KEEP IT MELLO (FEAT. OMAR LINX),"February 21, 2018",JOYTIME COLLECTIVE,0
SHWAYZE,CORONA AND LIME,"February 21, 2018",SURETONE/GEFFEN,0
HALSEY,NOW OR NEVER,"February 21, 2018",ASTRALWERKS,2
SELENA GOMEZ X MARSHMELLO,WOLVES,"February 15, 2018",INTERSCOPE,1
LORD HURON,THE NIGHT WE MET,"February 15, 2018",IAMSOUND,1
BRITNEY SPEARS,WORK BITCH,"February 15, 2018",RCA RECORDS,1
YELAWOLF,TIL IT'S GONE,"February 14, 2018",SLUMERICAN / SHADY / INTERSCOPE,0
ED SHEERAN,AFIRE LOVE,"February 14, 2018",ATLANTIC RECORDS,0
MADEINTYO,UBER EVERYWHERE,"February 14, 2018",COMMISSION RECORDS / PRIVATE CLUB RECORDS,2
YELAWOLF,LET'S ROLL (FEAT. KID ROCK),"February 14, 2018",GHET-O-VISION / SHADY / INTERSCOPE,0
ED SHEERAN,PHOTOGRAPH,"February 14, 2018",ATLANTIC RECORDS,4
ZAYN,DUSK TILL DAWN (FEAT. SIA),"February 14, 2018",RCA,1
YELAWOLF,BEST FRIEND (FEAT. EMINEM),"February 14, 2018",SLUMERICAN / SHADY / INTERSCOPE,0
TENTH AVENUE NORTH,YOU ARE MORE,"February 14, 2018",REUNION RECORDS,0
KELLY CLARKSON,LOVE SO SOFT,"February 14, 2018",ATLANTIC RECORDS,0
LESLIE GRACE,DIGANLE (FEAT. BECKY G),"February 14, 2018",SONY LATIN,1
YELAWOLF,DADDY'S LAMBO,"February 14, 2018",GHET-O-VISION / SHADY / INTERSCOPE,0
TWENTY ONE PILOTS,NOT TODAY,"February 14, 2018",FUELED BY RAMEN,0
MAREN MORRIS,I COULD USE A LOVE SONG,"February 13, 2018",COLUMBIA NASHVILLE,0
KATY PERRY,CALIFORNIA GURLS (FEAT. SNOOP DOGG),"February 13, 2018",CAPITOL RECORDS,8
KATY PERRY,PART OF ME,"February 13, 2018",CAPITOL RECORDS,4
KATY PERRY,FIREWORK,"February 13, 2018",CAPITOL RECORDS,11
CALUM SCOTT,DANCING ON MY OWN,"February 13, 2018",CAPITOL RECORDS,1
KATY PERRY,I KISSED A GIRL,"February 13, 2018",CAPITOL RECORDS,6
THREE DAYS GRACE,CHALK OUTLINE,"February 12, 2018",RCA RECORDS,0
THREE DAYS GRACE,BREAK,"February 12, 2018",RCA RECORDS,1
THREE DAYS GRACE,JUST LIKE YOU,"February 12, 2018",RCA RECORDS,0
THREE DAYS GRACE,TIME OF DYING,"February 12, 2018",RCA RECORDS,0
THREE DAYS GRACE,HOME,"February 12, 2018",RCA RECORDS,0
THREE DAYS GRACE,PAIN,"February 12, 2018",RCA RECORDS,1
THREE DAYS GRACE,ANIMAL I HAVE BECOME,"February 12, 2018",RCA RECORDS,2
THREE DAYS GRACE,WORLD SO COLD,"February 12, 2018",RCA RECORDS,1
THREE DAYS GRACE,RIOT,"February 12, 2018",RCA RECORDS,1
THREE DAYS GRACE,NEVER TOO LATE,"February 12, 2018",RCA RECORDS,2
THREE DAYS GRACE,I HATE EVERYTHING ABOUT YOU,"February 12, 2018",RCA RECORDS,2
THREE DAYS GRACE,THE GOOD LIFE,"February 12, 2018",RCA RECORDS,1
THREE DAYS GRACE,I AM MACHINE,"February 12, 2018",RCA RECORDS,0
BTS,DNA,"February 9, 2018",BIGHIT ENTERTAINMENT,0
CHARLIE PUTH,ONE CALL AWAY,"February 9, 2018",ARTIST PARTNERS GROUP,3
6IX9INE,KOODA,"February 9, 2018",TENTHOUSAND PROJECTS,0
BRUNO MARS,24K MAGIC,"February 9, 2018",ATLANTIC RECORDS,5
PENTATONIX,HALLELUJAH,"February 9, 2018",RCA RECORDS,1
TY DOLLA $IGN,WAVY (FEAT. JOE MOSES),"February 9, 2018",ATLANTIC RECORDS,1
CHILDISH GAMBINO,REDBONE,"February 9, 2018",GLASSNOTE ENTERTAINMENT GROUP LLC,4
YOUNG DOLPH,100 SHOTS,"February 9, 2018",PAPER ROUTE/EMPIRE,0
LIL UZI VERT,LUV IS RAGE 2,"February 9, 2018",ATLANTIC RECORDS,1
JHENE AIKO,WHILE WE'RE YOUNG,"February 9, 2018",DEF JAM,0
PENTATONIX,"MARY, DID YOU KNOW","February 9, 2018",RCA RECORDS,1
LOGIC,GANG RELATED,"February 9, 2018",DEF JAM,0
PENTATONIX,CAN'T SLEEP LOVE,"February 9, 2018",RCA,0
LOGIC,NIKKI,"February 9, 2018",DEF JAM,0
BRYSON TILLER,BEEN THAT WAY,"February 8, 2018",RCA,1
BRYSON TILLER,LET 'EM KNOW,"February 8, 2018",RCA,1
BRYSON TILLER,LET ME EXPLAIN,"February 8, 2018",RCA RECORDS,0
BRYSON TILLER,EXCHANGE,"February 8, 2018",RCA RECORDS,4
SHAKIRA & CARLOS VIVES,LA BICICLETA,"February 8, 2018",SONY LATIN,17
BRYSON TILLER,RUN ME DRY,"February 8, 2018",RCA RECORDS,0
CARLOS VIVES,ROBARTE UN BESO,"February 8, 2018",SONY LATIN,5
BRYSON TILLER,SELF-MADE,"February 8, 2018",RCA,0
CARLOS VIVES,AL FILO DE TU AMOR,"February 8, 2018",SONY LATIN,1
CASTING CROWNS,JUST BE HELD,"February 8, 2018",REUNION RECORDS / BEACH STREET RECORDS,0
TYLER FARR,WHISKEY IN MY WATER,"February 7, 2018",COLUMBIA NASHVILLE,1
KANE BROWN,USED TO LOVE YOU SOBER,"February 7, 2018",RCA NASHVILLE/ZONE 4,1
CASTING CROWNS,COURAGEOUS,"February 7, 2018",REUNION RECORDS / BEACH STREET RECORDS,0
LADY GAGA,THE CURE,"February 6, 2018",STREAMLINE / INTERSCOPE,1
BLACKBEAR,DO RE MI,"February 6, 2018",BEARTRAP / ALAMO / INTERSCOPE RECORDS,2
SHAWN MENDES,MERCY,"February 6, 2018",ISLAND RECORDS,2
BTS,MIC DROP,"February 6, 2018",BIGHIT ENTERTAINMENT,0
BRETT YOUNG,IN CASE YOU DIDN'T KNOW,"February 5, 2018",BIG MACHINE RECORDS,3
ZAYN,LIKE I WOULD,"February 5, 2018",RCA,0
TRIPPIE REDD,POLES 1469,"February 2, 2018",TENTHOUSAND PROJECTS,0
ROMEO SANTOS,IMITADORA,"February 1, 2018",SONY LATIN,7
JEREMIH,DON'T TELL 'EM,"February 1, 2018",DEF JAM,3
MAJOR LAZER,COLD WATER (FEAT. JUSTIN BIEBER & MO),"February 1, 2018",DEF JAM,4
G-EAZY,I MEAN IT (FEAT. REMO),"February 1, 2018",RCA,3
JAY-Z,THE STORY OF O.J.,"February 1, 2018",ROC NATION,0
VINCE STAPLES,NORF NORF,"February 1, 2018",DEF JAM,0
LIL UZI VERT,THE WAY LIFE GOES,"February 1, 2018",ATLANTIC RECORDS,1
ALABAMA SHAKES,DON'T WANNA FIGHT,"February 1, 2018",ATO RECORDS,1
"ROMEO SANTOS, DADDY YANKEE, & NICKY JAM",BELLA Y SENSUAL,"February 1, 2018",SONY LATIN,6
KANYE WEST,PT. 2,"February 1, 2018",DEF JAM,1
ROMEO SANTOS,HEROE FAVORITO,"February 1, 2018",SONY LATIN,5
JAY-Z,RENEGADE,"February 1, 2018",ROC NATION,0
RIHANNA,WHAT NOW,"February 1, 2018",DEF JAM,1
FRENCH MONTANA,UNFORGETTABLE (FEAT. SWAE LEE),"January 31, 2018",EPIC,5
LIL YACHTY,MINNESOTA,"January 30, 2018",QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS,0
MICKEY AVALON,MY DICK,"January 30, 2018",INTERSCOPE RECORDS,1
LIL YACHTY,PEEK-A-BOO,"January 30, 2018",QUALITY CONTROL MUSIC / MOTOWN RECORDS / CAPITOL RECORDS,0
TIMMY TRUMPET,FREAKS (FEAT. SAVAGE),"January 30, 2018",CASABLANCA / REPUBLIC RECORDS,0
TIMMY TRUMPET,FREAKS (FEAT. SAVAGE),"January 30, 2018",CASABLANCA / REPUBLIC RECORDS,0
YO GOTTI,RAKE IT UP (FEAT. NICKI MINAJ),"January 30, 2018",EPIC,2
KENT JONES,DON'T MIND,"January 30, 2018",EPIC,2
TORY LANEZ,LUV,"January 30, 2018",MAD LOVE/INTERSCOPE,2
LUIS FONSI & DADDY YANKEE,DESPACITO,"January 27, 2018",UNIVERSAL MUSIC LATINO / REPUBLIC RECORDS,10
MILEY CYRUS,ADORE YOU,"January 26, 2018",RCA,2
RUSS,WHAT THEY WANT,"January 26, 2018",COLUMBIA / RUSS MY WAY INC.,2
MILEY CYRUS,DO MY THANG,"January 26, 2018",RCA,0
MAX,LIGHTS DOWN LOW,"January 26, 2018",CRUSH RECORDS,1
SILVESTRE DANGOND & NICKY JAM,CASATE CONMIGO,"January 26, 2018",SONY LATIN,1
MILEY CYRUS,FU,"January 26, 2018",RCA,0
TWENTY ONE PILOTS,GONER,"January 26, 2018",ATLANTIC RECORDS,0
MILEY CYRUS,WE CAN'T STOP,"January 26, 2018",RCA,5
RUSS,PULL THE TRIGGER,"January 26, 2018",COLUMBIA / RUSS MY WAY INC.,0
TRAVIS SCOTT,BUTTERFLY EFFECT,"January 25, 2018",EPIC,2
KID INK,MONEY AND THE POWER,"January 23, 2018",RCA,0
MEGHAN TRAINOR,ALL ABOUT THAT BASS,"January 23, 2018",EPIC,10
JOEY MONTANA,SUENA EL DEMBOW,"January 22, 2018",UNIVERSAL MUSIC LATINO,0
DUSTIN LYNCH,SMALL TOWN BOY,"January 19, 2018",BROKEN BOW RECORDS,1
ZACH WILLIAMS,CHAIN BREAKER,"January 19, 2018",ESSENTIAL RECORDS,0
KATY PERRY,WIDE AWAKE,"January 19, 2018",CAPITOL RECORDS,5
KATY PERRY,SWISH SWISH,"January 19, 2018",CAPITOL RECORDS,1
BRETT ELDREDGE,WANNA BE THAT SONG,"January 19, 2018",ATLANTIC RECORDS,1
KATY PERRY,LAST FRIDAY NIGHT (T.G.I.F),"January 19, 2018",CAPITOL RECORDS,6
NEW BOYZ,BETTER WITH THE LIGHTS OFF,"January 19, 2018",WARNER BROS RECORDS,1
AYO & TEO,ROLEX,"January 19, 2018",COLUMBIA,2
THIRD DAY,SOUL ON FIRE (FEATURING ALL SONS & DAUGHTERS),"January 18, 2018",ESSENTIAL RECORDS,0
RUSSELL DICKERSON,YOURS,"January 18, 2018",TRIPLE TIGERS RECORDS,1
MIDLAND,DRINKIN' PROBLEM,"January 18, 2018",BIG MACHINE RECORDS,1
MIGUEL,ALL I WANT IS YOU,"January 18, 2018",RCA,1
ANDY MINEO,YOU CAN'T STOP ME,"January 17, 2018",REACH RECORDS,0
FLORIDA GEORGIA LINE,SMOOTH,"January 12, 2018",BMLG RECORDS,0
JUSTIN MOORE,SOMEBODY ELSE WILL,"January 12, 2018",THE VALORY MUSIC CO,0
SNAKEHIPS,ALL MY FRIENDS (FEAT TINASHE & CHANCE THE RAPPER),"January 12, 2018",HOFFMAN WEST / COLUMBIA / RCA,1
HOZIER,TAKE ME TO CHURCH,"January 12, 2018",COLUMBIA,6
MERCYME,EVEN IF,"January 12, 2018",FAIR TRADE SERVICES,0
TAY-K,THE RACE,"January 12, 2018",88 CLASSIC,1
RUSS,DO IT MYSELF,"January 12, 2018",COLUMBIA / RUSS MY WAY INC.,0
RUSS,ME YOU,"January 12, 2018",COLUMBIA / RUSS MY WAY INC.,0
VANCE JOY,THE FIRE AND THE FLOOD,"January 11, 2018",ATLANTIC RECORDS,0
HILLSONG WORSHIP,WHAT A BEAUTIFUL NAME,"January 11, 2018",HILLSONG/CAPITOL CMG,0
LIL PUMP,BOSS,"January 11, 2018",THA LIGHTS GLOBAL / WARNER BROS. RECORDS,0
VANCE JOY,GEORGIA,"January 11, 2018",ATLANTIC RECORDS,0
E-40,CHOICES (YUP),"January 11, 2018",HEAVY ON THE GRIND ENTERTAINMENT,1
PLAYBOI CARTI,WOKEUPLIKETHIS* (FEAT. LIL UZI VERT),"January 10, 2018",INTERSCOPE/AWGE,1
MIRANDA LAMBERT,TIN MAN,"January 10, 2018",VANNER RECORDS / RCA NASHVILLE,0
PLAYBOI CARTI,MAGNOLIA,"January 10, 2018",AWGE / INTERSCOPE RECORDS,2
CASTING CROWNS,WHO AM I,"January 10, 2018",PROVIDENT LABEL GROUP LLC / REUNION RECORDS,1
JOEY BADA$$,DEVASTATED,"January 10, 2018",CINEMATIC MUSIC GROUP / PRO ERA,1
CHRIS BROWN,QUESTIONS,"January 5, 2018",RCA,0
CHRIS BROWN,"PILLS & AUTOMOBILES (FEAT. YO GOTTI, A BOOGIE WIT DA HOODIE, & KODAK BLACK)","January 5, 2018",RCA,1
MELENDI,DESTINO O CASUALIDAD,"January 3, 2018",SONY LATIN,0
LANCO,GREATEST LOVE STORY,"January 3, 2018",ARISTA NASHVILLE,1
LUIS FONSI,ECHAME LA CULPA,"December 15, 2017",UNIVERSAL MUSIC LATINO,3
J ALVAREZ,ESA BOQUITA,"December 15, 2017","ON TOP OF THE WORLD MUSIC, INC",0
MAT KEARNEY,CLOSER TO LOVE,"December 15, 2017",COLUMBIA RECORDS,0
SMOKEPURPP,AUDI.,"December 14, 2017",ALAMO RECORDS,0
THOMAS RHETT,CRAVING YOU,"December 14, 2017",THE VALORY MUSIC CO,1
MAYDAY PARADE,MISERABLE AT BEST,"December 14, 2017",FEARLESS RECORDS,0
CHEAT CODES X KRISS KROSS AMSTERDAM,SEX,"December 14, 2017",CASABLANCA RECORDS,0
MY CHEMICAL ROMANCE,WELCOME TO THE BLACK PARADE,"December 14, 2017",REPRISE,3
LINKIN PARK,NUMB,"December 13, 2017",WARNER BROS.,4
TORY LANEZ,SAY IT,"December 13, 2017",MAD LOVE/INTERSCOPE,2
JAY-Z & LINKIN PARK,NUMB/ENCORE,"December 13, 2017",WARNER BROS.,3
"BOOBOO STEWART, DOVE CAMERON, SOFIA CARSON, CAMERON BOYCE","WAYS TO BE WICKED (FROM ""DESCENDANTS 2"")","December 13, 2017",WALT DISNEY RECORDS,0
TAYLOR SWIFT,GORGEOUS,"December 11, 2017",BIG MACHINE RECORDS,0
TAYLOR SWIFT,ALL YOU HAD TO DO WAS STAY,"December 11, 2017",BIG MACHINE RECORDS,0
TAYLOR SWIFT,HAUNTED,"December 11, 2017",BIG MACHINE RECORDS,0
HALSEY,CASTLE,"December 8, 2017",ASTRALWERKS,1
LORDE,ROYALS,"December 8, 2017",REPUBLIC RECORDS,10
OF MONSTERS & MEN,LITTLE TALKS,"December 8, 2017",REPUBLIC RECORDS,5
HAILEE STEINFELD,MOST GIRLS,"December 8, 2017",REPUBLIC RECORDS,1
TREY SONGZ,NOBODY ELSE BUT YOU,"December 8, 2017",ATLANTIC RECORDS,0
LAUREN DAIGLE,FIRST,"December 8, 2017",CENTRICITY MUSIC,0
KEVIN GATES,ONE THING,"December 8, 2017",ATLANTIC RECORDS/APG,0
LORDE,GREEN LIGHT,"December 8, 2017",REPUBLIC RECORDS,1
ARCANGEL,CONTIGO QUIERO AMORES,"December 6, 2017",SONY LATIN / PINA RECORDS,0
ARCANGEL,DIOSA DE LOS CORAZONES,"December 6, 2017",PINA RECORDS,0
ARCANGEL,HACE MUCHO TIEMPO,"December 6, 2017",SONY LATIN / PINA RECORDS,1
10 YEARS,WASTELAND,"December 6, 2017",REPUBLIC RECORDS,0
ARCANGEL,MAS QUE AYER,"December 6, 2017",SONY LATIN / PINA RECORDS,0
BLINK-182,BORED TO DEATH,"December 6, 2017",BMG,0
ARCANGEL,ME PREFIERES A MI REMIX,"December 6, 2017",SONY LATIN / PINA RECORDS,1
SEBASTIAN YATRA,ALGUIEN ROBO,"December 6, 2017",UNIVERSAL MUSIC LATINO,2
ARCANGEL,SOLA,"December 6, 2017",SONY LATIN / PINA RECORDS,0
TEE GRIZZLEY,FIRST DAY OUT,"December 6, 2017",300 ENTERTAINMENT,1
ARCANGEL,50 SOMBRAS DE AUSTIN,"December 6, 2017",SONY LATIN / PINA RECORDS,1
LIL DICKY,MOLLY,"December 4, 2017",COMMISSION MUSIC,0
MADEINTYO,SKATEBOARD P,"December 4, 2017",COMMISSION MUSIC / PRIVATE CLUB RECORDS,1
MADEINTYO,I WANT,"December 4, 2017",COMMISSION MUSIC / PRIVATE CLUB RECORDS,0
POST MALONE,WHITE IVERSON,"December 4, 2017",REPUBLIC RECORDS,5
CHEAT CODES,NO PROMISES (FEAT. DEMI LOVATO),"December 1, 2017",300 ENTERTAINMENT,1
BRYTIAGO & BAD BUNNY,NETFLIXXX,"December 1, 2017",BUSINESS MUSIC,1
SAGE THE GEMINI,NOW AND LATER,"December 1, 2017",GLOBAL GEMINI / ATLANTIC RECORDS,0
J BALVIN & WILLY WILLIAM,MI GENTE,"December 1, 2017",UNIVERSAL MUSIC LATINO,2
MIGUEL,HOW MANY DRINKS?,"November 30, 2017",RCA,0
MIGUEL,SURE THING,"November 30, 2017",RCA,1
MAROON 5,DON'T WANNA KNOW (FEAT. KENDRICK LAMAR),"November 30, 2017",222 RECORDS / INTERSCOPE,2
MIGUEL,COFFEE,"November 30, 2017",RCA,0
MIGUEL,DO YOU…,"November 30, 2017",RCA,0
MIGUEL,SIMPLE THINGS,"November 30, 2017",RCA,0
MIGUEL,QUICKIE,"November 30, 2017",RCA,0
DISTURBED,THE SOUND OF SILENCE,"November 29, 2017",WARNER BROS RECORDS,3
"BANKROLL FRESH FEAT. STREET MONEY BOOCHIE, TRAVIS PORTER & JEEZY",WALKED IN REMIX,"November 29, 2017",STREET MONEY WORLDWIDE / STREET EXECS,0
OLD DOMINION,SNAPBACK,"November 29, 2017",RCA RECORDS LABEL NASHVILLE,1
ZAYN,STILL GOT TIME (FEAT. PARTYNEXTDOOR),"November 29, 2017",RCA,0
CHRIS BROWN,WITH YOU,"November 22, 2017",RCA,3
CHRIS BROWN,SUPERHUMAN,"November 22, 2017",RCA,0
CHRIS BROWN,GRASS AIN'T GREENER,"November 22, 2017",RCA,1
CHRIS BROWN,GIMME THAT,"November 22, 2017",RCA,1
CHRIS BROWN,DON'T JUDGE ME,"November 22, 2017",RCA,1
CHRIS BROWN,RUN IT!,"November 22, 2017",RCA,2
CHRIS BROWN,YO (EXCUSE ME MISS),"November 22, 2017",RCA,1
CHRIS BROWN,SAY GOODBYE,"November 22, 2017",RCA,1
CHRIS BROWN,SWEET LOVE,"November 22, 2017",RCA,0
CHRIS BROWN,NEXT TO YOU (FEAT. JUSTIN BIEBER),"November 22, 2017",RCA,1
CHRIS BROWN,TAKE YOU DOWN,"November 22, 2017",RCA,0
CHRIS BROWN,ZERO,"November 22, 2017",RCA,0
CHRIS BROWN,NO BS (FEAT. KEVIN MCCALL),"November 22, 2017",RCA,0
CHRIS BROWN,DON'T THINK THEY KNOW (FEAT. AALIYAH),"November 22, 2017",RCA,0
CHRIS BROWN,CRAWL,"November 22, 2017",RCA,0
CHRIS BROWN,THIS CHRISTMAS,"November 22, 2017",RCA,0
CHRIS BROWN,WALL TO WALL,"November 22, 2017",RCA,1
CHRIS BROWN,PRIVACY,"November 22, 2017",RCA,1
CHRIS BROWN,FOREVER,"November 22, 2017",RCA,4
CHRIS BROWN,WET THE BED (FEAT. LUDACRIS),"November 22, 2017",RCA,0
CHRIS BROWN,I CAN TRANSFORM YA (FEAT. LIL WAYNE & SWIZZ BEATZ),"November 22, 2017",RCA,2
CHRIS BROWN,LIQUOR,"November 22, 2017",RCA,1
BRYSON TILLER,RIGHT MY WRONGS,"November 16, 2017",RCA,1
DAN + SHAY,HOW NOT TO,"November 16, 2017",WARNER BROS. RECORDS,0
BRYSON TILLER,502 COME UP,"November 16, 2017",RCA,0
BRYSON TILLER,FOR HOWEVER,"November 16, 2017",RCA,0
BRYSON TILLER,OVERTIME,"November 16, 2017",RCA,1
LUKE BRYAN,KICK THE DUST UP,"November 16, 2017",CAPITOL RECORDS NASHVILLE,2
BRYSON TILLER,RAMBO,"November 16, 2017",RCA,0
LUKE BRYAN,DON'T WANT THIS NIGHT TO END,"November 16, 2017",CAPITOL RECORDS NASHVILLE,4
BRYSON TILLER,DON'T,"November 16, 2017",RCA,4
LUKE BRYAN,DO I,"November 16, 2017",CAPITOL NASHVILLE,2
CARLY PEARCE,EVERY LITTLE THING,"November 14, 2017",BIG MACHINE RECORDS,0
SELENA,CUMBIA MEDLEY,"November 13, 2017",UNIVERSAL MUSIC LATINO,0
ARIANA GRANDE,INTO YOU,"November 10, 2017",REPUBLIC RECORDS,3
2 CHAINZ,BIG AMOUNT,"November 10, 2017",DEF JAM,0
LUKAS GRAHAM,7 YEARS,"November 10, 2017",WARNER BROS RECORDS,5
JULIA MICHAELS,ISSUES,"November 10, 2017",REPUBLIC RECORDS,3
CHRIS BROWN X TYGA,AYO,"November 10, 2017",RCA,2
RAE SREMMURD,SWANG,"November 10, 2017",EARDRUMMER / INTERSCOPE,3
QUEEN,BOHEMIAN RHAPSODY,"November 10, 2017",HOLLYWOOD RECORDS,6
K CAMP,LIL BIT,"November 10, 2017",FTE / INTERSCOPE RECORDS,0
2 CHAINZ,4 AM,"November 10, 2017",DEF JAM,1
CHRIS BROWN,LOVE MORE (FEAT. NICKI MINAJ),"November 10, 2017",RCA RECORDS,1
CHRIS BROWN,FINE CHINA,"November 10, 2017",RCA RECORDS,1
D.R.A.M.,BROCCOLI,"November 10, 2017",WAVERECORDINGS / EMPIRE / ATLANTIC,6
CHINA ANNE MCCLAIN,"WHAT'S MY NAME (FROM ""DESCENDANTS 2""","November 10, 2017",WALT DISNEY RECORDS,0
LUKAS GRAHAM,MAMA SAID,"November 10, 2017",WARNER BROS RECORDS,1
CHRIS BROWN,NEW FLAME (FEAT. USHER & RICK ROSS),"November 10, 2017",RCA RECORDS,2
NICKI MINAJ,FEELING MYSELF,"November 10, 2017",YOUNG MONEY / CASH MONEY / REPUBLIC RECORDS,2
K CAMP,COMFORTABLE,"November 9, 2017",FAMILY TIES ENTERTAINMENT / INTERSCOPE,1
MACHINE GUN KELLY,INVINCIBLE,"November 9, 2017",BAD BOY/INTERSCOPE,0
K CAMP,1HUNNID,"November 9, 2017",FAMILY TIES ENTERTAINMENT / INTERSCOPE,0
KID INK,MAIN CHICK (FEAT. CHRIS BROWN),"November 8, 2017",RCA RECORDS,1
CHRIS BROWN,LOYAL,"November 6, 2017",RCA RECORDS,3
KESHA,PRAYING,"November 6, 2017",RCA,1
LOCASH,I KNOW SOMEBODY,"November 6, 2017",REVIVER RECORDS,0
DENZEL CURRY,ULTIMATE,"October 31, 2017",LOMA VISTA,0
DUKE DUMONT,OCEAN DRIVE,"October 31, 2017",ASTRALWERKS,0
MOTION CITY SOUNDTRACK,EVERYTHING IS ALRIGHT,"October 31, 2017",EPITAPH,0
DUKE DUMONT,I GOT U,"October 31, 2017",ASTRALWERKS,0
NORIEL,AMIGOS Y ENEMIGOS,"October 31, 2017",SONY LATIN,2
HALSEY,CONTROL,"October 27, 2017",ASTRALWERKS,0
SKILLET,FEEL INVINCIBLE,"October 27, 2017",ATLANTIC RECORDS,0
ED SHEERAN,THINKING OUT LOUD,"October 27, 2017",ATLANTIC RECORDS,10
HALSEY,GASOLINE,"October 27, 2017",ASTRALWERKS,1
ARIANA GRANDE & JOHN LEGEND,BEAUTY AND THE BEAST,"October 25, 2017",WALT DISNEY RECORDS,0
"AULI'I CRAVALHO, CHRISTOPHER JACKSON, LOUISE BUSH, NICOLE SCHERZINGER, RACHEL HOUSE","WHERE YOU ARE (FROM ""MOANA"")","October 25, 2017",WALT DISNEY RECORDS,0
JOSEPH WILLIAMS,CAN YOU FEEL THE LOVE TONIGHT?,"October 25, 2017",WALT DISNEY RECORDS,0
MALU TREVEJO,LUNE LLENA,"October 23, 2017",UNIVERSAL MUSIC LATINO,1
DJ KHALED,SHINING (FEAT. BEYONCE & JAY-Z),"October 21, 2017",EPIC,1
THE WEEKND,IN THE NIGHT,"October 20, 2017",REPUBLIC RECORDS / XO RECORDS,2
"JESSIE J, ARIANA GRANDE, NICKI MINAJ",BANG BANG,"October 20, 2017",REPUBLIC RECORDS,6
THE WEEKND,CAN'T FEEL MY FACE,"October 20, 2017",REPUBLIC RECORDS / XO RECORDS,7
DNCE,TOOTHBRUSH,"October 20, 2017",REPUBLIC RECORDS,1
DNCE,CAKE BY THE OCEAN,"October 20, 2017",REPUBLIC RECORDS,4
POST MALONE,DEJA VU,"October 20, 2017",REPUBLIC RECORDS,1
